dataset,instrument,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,median_frac_session_to_touch
Dukascopy_1m,GBPUSD,FX,UTC,2016-2026,Fri->Mon,555,309,140,0.45307443365695793,0.39848629212045467,0.5088149968157365,0.4126126126126126,0.3617886178861789,0.09128581577077904,0.008869291240411942,0.17136595155747328,0.030530776510074402,0.1860803804111597,-0.2964778046181213,-1.421930946362866,
Dukascopy_1m,NAS100,US_INDEX,UTC,2016-2026,Fri->Mon,538,246,121,0.491869918699187,0.4300038288482713,0.5539860180775318,0.38661710037174724,0.2979452054794521,0.19392471321973492,0.1112743151452898,0.27338825075003365,5.436929891351305e-06,0.3997443072253486,0.4446529677654444,2.1936772350508225,
Dukascopy_1m,US500,US_INDEX,UTC,2016-2026,Fri->Mon,538,241,115,0.47717842323651455,0.4149717109461003,0.5401012572800217,0.3643122676579926,0.2727272727272727,0.20445115050924184,0.12252554175802477,0.28329433440822394,1.0863897858797127e-06,0.4262028208326043,0.44326418966128583,2.1481593062779565,
Dukascopy_1m,USDCAD,FX,UTC,2016-2026,Fri->Mon,554,262,147,0.5610687022900763,0.5005252460221531,0.6198472502090818,0.43501805054151627,0.3219178082191781,0.23915089407089823,0.15694945702548974,0.31695567217747467,2.063813299499574e-08,0.48660299677236596,0.42159784629975683,2.128680487550902,
Dukascopy_1m,USDCHF,FX,UTC,2016-2026,Fri->Mon,554,296,133,0.44932432432432434,0.3936669975720418,0.5062801274253055,0.4314079422382672,0.4108527131782946,0.03847161114602976,-0.04404028474953983,0.119973825727044,0.390171840748549,0.07772730753775892,-0.17213664534280126,-0.8988096087772236,
Dukascopy_1m,USDJPY,FX,UTC,2016-2026,Fri->Mon,555,295,135,0.4576271186440678,0.40168425377843114,0.5146593482818169,0.4018018018018018,0.3384615384615385,0.11916558018252932,0.037498748254603156,0.1982537219538346,0.005445583767674775,0.24413144066382886,0.06670942589182872,0.33645995060540157,
Dukascopy_1m,WTIUSD,COMMOD,UTC,2016-2026,Fri->Mon,536,272,141,0.5183823529411765,0.4591607553955503,0.5770919531086501,0.4533582089552239,0.38636363636363635,0.13201871657754016,0.04773925700653778,0.21364190734614605,0.002391869957810549,0.2660491962678029,0.09460635232525047,0.47481865157516034,
Dukascopy_1m,XAGUSD,COMMOD,UTC,2016-2026,Fri->Mon,536,274,126,0.45985401459854014,0.40180408400821205,0.5190140685692342,0.40671641791044777,0.3511450381679389,0.10870897643060123,0.025531896810057395,0.189668914669696,0.010909441902961295,0.22191441184354876,-0.10959160070454049,-0.5358380902814214,
Dukascopy_1m,XAUUSD,COMMOD,UTC,2016-2026,Fri->Mon,536,277,131,0.4729241877256318,0.4149018458073686,0.5316872366486627,0.4197761194029851,0.36293436293436293,0.10998982479126884,0.026402380066270104,0.19127506067006664,0.011117690472975585,0.22350813031877026,-0.3071973121238581,-1.4562059093061863,
Dukascopy_1m,POOL_COMMOD,COMMOD,UTC,2016-2026,Fri->Mon,1608,823,398,0.4835965978128797,0.4496104873340646,0.5177351268559768,0.42661691542288555,0.3668789808917197,0.11671761692116,0.06844082238251352,0.16419187507584532,2.6544932888311985e-06,0.23667954806302038,-0.10270432859791796,-0.872593205001163,
Dukascopy_1m,POOL_CRYPTO,CRYPTO,UTC,2016-2026,Fri->Mon,483,275,124,0.4509090909090909,0.39317835721796035,0.5099924262294104,0.42028985507246375,0.3798076923076923,0.07110139860139864,-0.017774011232718448,0.1576273572889786,0.1363544980455207,0.14442181904381934,-0.009342432068991597,-0.04651575636686167,
Dukascopy_1m,POOL_FX,FX,UTC,2016-2026,Fri->Mon,3328,1773,851,0.47997743936830234,0.4567908984534504,0.5032505562033296,0.4191706730769231,0.3498392282958199,0.1301382110724824,0.09673277128833513,0.16307600575545353,3.420445591364627e-14,0.2649739091696275,0.003583037655454015,0.04390576246677751,
Dukascopy_1m,POOL_US_INDEX,US_INDEX,UTC,2016-2026,Fri->Mon,1076,487,236,0.48459958932238195,0.44050782949877093,0.5289324047551992,0.3754646840148699,0.28522920203735147,0.19937038728503048,0.14131660766696832,0.25584234628138136,2.5628686393753007e-11,0.4131794028596014,0.43864215524753425,3.0389839298760823,
Dukascopy_1m,AUDUSD,FX,LONDON,2016-2026,Fri->Mon,555,302,146,0.48344370860927155,0.4276456431570336,0.5396576778558879,0.42342342342342343,0.35177865612648224,0.1316650524827893,0.04924590330599739,0.21117145336007065,0.0019127589513899482,0.2678471161799605,-0.06861100255029416,-0.33536520934349484,
