sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
BROKER,ALL Mondays,net60_atr,475,601,-0.0031790881433383113,-0.004932238502582652,0.0017531503592443406,-0.026446987931097045,0.02918715438907251,0.896
BROKER,ALL Mondays,ret_close_atr,475,601,0.07585502041412416,0.12292437113276039,-0.04706935071863623,-0.14940175869310934,0.06305011097289547,0.392
BROKER,ALL Mondays,mfe_down_atr,475,601,0.5497122828545036,0.37382218466652994,0.17589009818797363,0.10481840850028372,0.25714777391276683,0.0
BROKER,ALL Mondays,mfe_up_atr,475,601,0.5548776590074948,0.4405747265082421,0.11430293249925266,0.04914983424453985,0.18466283814284537,0.0
BROKER,ALL Mondays,first_move_dn,475,601,0.4378947368421053,0.3860232945091514,0.051871442332953877,-0.021350706044157883,0.12189181610234856,0.16
BROKER,ALL Mondays,or15_dn,475,601,0.4568421052631579,0.4875207986688852,-0.03067869340572732,-0.10418855297098499,0.04525381387529924,0.4573333333333333
BROKER,ALL Mondays,or30_dn,475,601,0.4421052631578947,0.4858569051580699,-0.04375164200017517,-0.12004515254054249,0.02592725402667187,0.23866666666666667
BROKER,ALL Mondays,dir60_up,475,601,0.5368421052631579,0.4891846921797005,0.04765741308345739,-0.025784666308952087,0.11575276850859159,0.20933333333333334
BROKER,ALL Mondays,pen_after_Blow_atr,236,175,0.6772815214778782,0.4528422406458168,0.22443928083206144,0.08387110157449114,0.3634784412288591,0.0013333333333333333
BROKER,ALL Mondays,bounce_after_Blow_atr,236,175,0.4655994343972689,0.3954789496475745,0.0701204847496944,-0.022858978375753482,0.1665924854258939,0.14133333333333334
BROKER,ALL Mondays,mae_before_Blow_atr,236,175,0.1465574157242929,0.12721117134531146,0.019346244378981442,-0.021817258491520025,0.05971070346656477,0.356
BROKER,opens AT/ABOVE Fri low (tradeable),touch_Blow,404,555,0.4084158415841584,0.23243243243243245,0.17598340915172594,0.10132957582421113,0.24864418442266165,0.0
BROKER,opens AT/ABOVE Fri low (tradeable),seq_low_first,404,555,0.33910891089108913,0.2,0.13910891089108912,0.065803061850025,0.21182444612840085,0.0
BROKER,opens AT/ABOVE Fri low (tradeable),Blow_by30,404,555,0.08168316831683169,0.023423423423423424,0.058259744893408266,0.024471785045503312,0.09316174796723242,0.0
BROKER,opens AT/ABOVE Fri low (tradeable),Blow_by60,404,555,0.09405940594059406,0.03063063063063063,0.06342877530996344,0.02782208090521479,0.10175167788532775,0.0
BROKER,opens AT/ABOVE Fri low (tradeable),net30_atr,404,555,3.404036298561437e-05,-0.008854215174873574,0.008888255537859189,-0.015359846153730742,0.035681344608394616,0.5213333333333333
BROKER,opens AT/ABOVE Fri low (tradeable),net60_atr,404,555,-0.005335201583805284,-0.007759843703079321,0.002424642119274037,-0.023352625082029725,0.031119394201310886,0.884
BROKER,opens AT/ABOVE Fri low (tradeable),ret_close_atr,404,555,0.06518251230177864,0.0996228091802355,-0.03444029687845686,-0.13554880186778767,0.07129700470599126,0.5626666666666666
