sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
BROKER,fri_last_hour_ret_atr,seq_low_first,475,logit,0.1806430324480612,-0.10937863237616104,0.5101262375848303,0.21666666666666667,29.0,0.017261904761904763,False
BROKER,fri_last_hour_ret_atr,dn60_atr,475,ols,0.025821448416496324,-0.006205430594793618,0.06711723229471667,0.15333333333333332,19.0,0.011309523809523811,False
BROKER,fri_last_hour_ret_atr,net60_atr,475,ols,0.03412828295577809,-0.005562053689891775,0.08071057228071159,0.10333333333333333,13.0,0.007738095238095238,False
BROKER,fri_last_hour_ret_atr,ret_close_atr,475,ols,-0.11143258226306083,-0.26486984857120693,0.04508704340118296,0.18333333333333332,25.0,0.01488095238095238,False
BROKER,fri_last_hour_ret_atr,mfe_down_atr,475,ols,0.07796087480077224,-0.006977887008751253,0.15923090890099775,0.10666666666666667,14.0,0.008333333333333335,False
BROKER,B_body_ratio,touch_Blow,475,logit,0.37831069062531636,0.10440927578460239,0.6732355008190483,0.0,1.0,0.0005952380952380953,True
BROKER,B_body_ratio,seq_low_first,475,logit,0.3809254241983681,0.11155396872818028,0.7020819286524654,0.013333333333333334,5.0,0.002976190476190476,False
BROKER,B_body_ratio,dn60_atr,475,ols,0.015736595756765434,-0.006616341711913174,0.04493387385813275,0.19,27.0,0.016071428571428573,False
BROKER,B_body_ratio,net60_atr,475,ols,0.0213187176746516,-0.00843796581145811,0.05296227033775536,0.18666666666666668,26.0,0.015476190476190477,False
BROKER,B_body_ratio,ret_close_atr,475,ols,-0.14143037633284378,-0.24833909452363429,-0.04333203259504265,0.0033333333333333335,4.0,0.002380952380952381,False
BROKER,B_body_ratio,mfe_down_atr,475,ols,0.07222234854582815,0.013220955706252943,0.13690190529360902,0.016666666666666666,6.0,0.0035714285714285718,False
BROKER,B_bear,touch_Blow,475,logit,0.09143087116707589,-0.26953393562995254,0.37235736294881294,0.5766666666666667,56.0,0.03333333333333334,False
