dataset,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled
Dukascopy_1m,US_INDEX,BROKER,2019,Fri->Mon,102,37,20,0.5405405405405406,0.3838404689217949,0.6896143019562697,0.4019607843137255,0.3230769230769231,0.21746361746361748,0.019616476058621934,0.39755156916728907,0.03737505515704643,0.44285030419520477,-0.008262431157080726,-0.015283088654190735
Dukascopy_1m,US_INDEX,BROKER,2020,Fri->Mon,100,45,18,0.4,0.27024886565009165,0.5454814540964862,0.41,0.41818181818181815,-0.018181818181818132,-0.20290925530169387,0.17091735874813377,1.0,-0.03698233675967977,0.07629646341289836,0.17529453723328195
Dukascopy_1m,US_INDEX,BROKER,2021,Fri->Mon,102,43,24,0.5581395348837209,0.41107614452824104,0.6956669016082949,0.4215686274509804,0.3220338983050847,0.2361056365786362,0.041849809339561034,0.40922990479203475,0.025178208526193693,0.48045411630352786,0.019438745893115044,0.03640072351300945
Dukascopy_1m,US_INDEX,BROKER,2022,Fri->Mon,98,45,31,0.6888888888888889,0.5433519442263318,0.804713007363466,0.4489795918367347,0.24528301886792453,0.44360587002096435,0.24820726794358394,0.5940133037195314,1.4792222039968738e-05,0.9219219096400053,1.5197530909778822,2.655411501709027
Dukascopy_1m,US_INDEX,BROKER,2023,Fri->Mon,100,38,17,0.4473684210526316,0.3014640099805125,0.6029370287800753,0.37,0.3225806451612903,0.12478777589134127,-0.06652167786339158,0.3113834755981867,0.2860619695390798,0.25728301983265145,-0.18516054199072188,-0.3540117719903904
Dukascopy_1m,US_INDEX,BROKER,2024,Fri->Mon,102,50,18,0.36,0.24138749651846741,0.49858983123887307,0.27450980392156865,0.19230769230769232,0.16769230769230767,-0.005850137886295237,0.3299316274611697,0.07629861090646425,0.3790797144418079,0.5415000555316366,1.0596680487614085
Dukascopy_1m,US_INDEX,BROKER,2025,Fri->Mon,102,47,18,0.3829787234042553,0.25790681096421997,0.5257343304358642,0.37254901960784315,0.36363636363636365,0.01934235976789167,-0.16259969535856536,0.2022378270489385,1.0,0.03999297783510247,0.43941343009876854,0.8837652089858479
Dukascopy_1m,US_INDEX,BROKER,2026,Fri->Mon,72,36,26,0.7222222222222222,0.5600751000260289,0.841516620598654,0.5277777777777778,0.3333333333333333,0.3888888888888889,0.1587426392238328,0.5662056126374768,0.0019329230721519346,0.8003909011354444,,
Dukascopy_1m,COMMOD,UTC,2016,Fri->Mon,147,86,47,0.5465116279069767,0.4415616959142949,0.6474840531754034,0.47619047619047616,0.3770491803278688,0.1694624475791079,0.0058844186432042145,0.31944626325104575,0.04635431322030992,0.3416077253479377,-0.19238785498470015,-0.4306443817472018
Dukascopy_1m,COMMOD,UTC,2017,Fri->Mon,147,80,36,0.45,0.34577689184711224,0.5588049211064404,0.43537414965986393,0.417910447761194,0.032089552238805996,-0.1263922606416408,0.18715723055368091,0.7400854840082801,0.0647583445544122,-0.9281093240744515,-2.018320468382982
